tree_id,block_id,spc_latin,spc_common,address1,address2,address3,address4,nta_name,latitude,longitude,x_sp,y_sp
187473,111818,Ginkgo biloba,ginkgo,217,CENTRAL,PARK,NORTH,Central Harlem South,40.79993056,-73.95675099,996224.144,230716.2227
187474,111818,Ginkgo biloba,ginkgo,217,CENTRAL,PARK,NORTH,Central Harlem South,40.79992223,-73.9566601,996249.3106,230713.1981
412373,109046,Ginkgo biloba,ginkgo,225,CENTRAL,PARK,NORTH,Central Harlem South,40.80014134,-73.95679582,996211.6942,230793.0112
412372,109046,Ginkgo biloba,ginkgo,225,CENTRAL,PARK,NORTH,Central Harlem South,40.80010934,-73.95671964,996232.7916,230781.362
412374,109046,Ginkgo biloba,ginkgo,225,CENTRAL,PARK,NORTH,Central Harlem South,40.80017467,-73.95687517,996189.7212,230805.1438
412375,109046,Ginkgo biloba,ginkgo,225,CENTRAL,PARK,NORTH,Central Harlem South,40.80020203,-73.95694028,996171.6878,230815.1014
187471,111818,Ulmus parvifolia,Chinese elm,225,CENTRAL,PARK,NORTH,Central Harlem South,40.79999594,-73.9569069,996180.9689,230740.0218
187472,111818,Ulmus parvifolia,Chinese elm,225,CENTRAL,PARK,NORTH,Central Harlem South,40.79998588,-73.95681189,996207.2736,230736.3696
187470,111818,Ginkgo biloba,ginkgo,225,CENTRAL,PARK,NORTH,Central Harlem South,40.80004994,-73.95696463,996164.9745,230759.6858
412378,109046,Ginkgo biloba,ginkgo,229,CENTRAL,PARK,NORTH,Central Harlem South,40.80030149,-73.95717705,996106.1193,230851.3061
412377,109046,Ginkgo biloba,ginkgo,229,CENTRAL,PARK,NORTH,Central Harlem South,40.80027121,-73.95710497,996126.0786,230840.2851
412376,109046,Ginkgo biloba,ginkgo,229,CENTRAL,PARK,NORTH,Central Harlem South,40.80023602,-73.95702121,996149.2774,230827.4757
187468,111818,Ginkgo biloba,ginkgo,229,CENTRAL,PARK,NORTH,Central Harlem South,40.80011412,-73.95711769,996122.5875,230783.0503
187467,111818,Ginkgo biloba,ginkgo,229,CENTRAL,PARK,NORTH,Central Harlem South,40.80010814,-73.95717443,996106.8792,230780.8617
187469,111818,Ginkgo biloba,ginkgo,229,CENTRAL,PARK,NORTH,Central Harlem South,40.80005788,-73.95705457,996140.0707,230762.5658
187466,111818,Ginkgo biloba,ginkgo,229,CENTRAL,PARK,NORTH,Central Harlem South,40.80016081,-73.957229,996091.7608,230800.043
412379,109046,Ginkgo biloba,ginkgo,235,CENTRAL,PARK,NORTH,Central Harlem South,40.80033482,-73.95725639,996084.1463,230863.4386
187465,111818,Ginkgo biloba,ginkgo,235,CENTRAL,PARK,NORTH,Central Harlem South,40.80017378,-73.95733096,996063.5289,230804.7573
187464,111818,Ginkgo biloba,ginkgo,235,CENTRAL,PARK,NORTH,Central Harlem South,40.80022804,-73.95738933,996047.3593,230824.5181
355187,111996,Ginkgo biloba,ginkgo,241,CENTRAL,PARK,NORTH,Central Harlem South,40.80031591,-73.9579335,995896.6817,230856.4589
355186,111996,Ginkgo biloba,ginkgo,241,CENTRAL,PARK,NORTH,Central Harlem South,40.80029988,-73.95790491,995904.6017,230850.621
355184,111996,Ginkgo biloba,ginkgo,241,CENTRAL,PARK,NORTH,Central Harlem South,40.80035045,-73.95782123,995927.7588,230869.0573
355185,111996,Ginkgo biloba,ginkgo,241,CENTRAL,PARK,NORTH,Central Harlem South,40.80035104,-73.95787538,995912.7667,230869.2647
187463,111818,Ginkgo biloba,ginkgo,241,CENTRAL,PARK,NORTH,Central Harlem South,40.80023823,-73.95748465,996020.9669,230828.2185
187462,111818,Ginkgo biloba,ginkgo,241,CENTRAL,PARK,NORTH,Central Harlem South,40.80029513,-73.95762031,995983.3968,230848.9281
524773,111808,Ginkgo biloba,ginkgo,36,CENTRAL,PARK,SOUTH,Midtown-Midtown South,40.76533894,-73.97518836,991123.0505,218111.3348
524772,111808,Styphnolobium japonicum,Sophora,36,CENTRAL,PARK,SOUTH,Midtown-Midtown South,40.76528919,-73.97506943,991155.9996,218093.2204
524776,111808,Platanus x acerifolia,London planetree,50,CENTRAL,PARK,SOUTH,Midtown-Midtown South,40.76573751,-73.9760701,990878.7584,218256.4809
524775,111808,Platanus x acerifolia,London planetree,50,CENTRAL,PARK,SOUTH,Midtown-Midtown South,40.76570549,-73.97599356,990899.9647,218244.8221
524774,111808,Platanus x acerifolia,London planetree,50,CENTRAL,PARK,SOUTH,Midtown-Midtown South,40.76567268,-73.97591512,990921.6966,218232.8743
242388,111807,Platanus x acerifolia,London planetree,100,CENTRAL,PARK,SOUTH,Midtown-Midtown South,40.7659041,-73.97643615,990777.3455,218317.1487
242389,111807,Platanus x acerifolia,London planetree,100,CENTRAL,PARK,SOUTH,Midtown-Midtown South,40.76587139,-73.97635805,990798.9823,218305.235
524777,111808,Platanus x acerifolia,London planetree,100,CENTRAL,PARK,SOUTH,Midtown-Midtown South,40.76575068,-73.9761016,990870.0317,218261.2781
242387,111807,Platanus x acerifolia,London planetree,106,CENTRAL,PARK,SOUTH,Midtown-Midtown South,40.76593563,-73.9765114,990756.4971,218328.6284
242386,111807,Platanus x acerifolia,London planetree,106,CENTRAL,PARK,SOUTH,Midtown-Midtown South,40.76596649,-73.97658507,990736.0868,218339.8668
242385,111807,Ginkgo biloba,ginkgo,120,CENTRAL,PARK,SOUTH,Midtown-Midtown South,40.76617386,-73.97715115,990579.2587,218415.3762
242384,111807,Ginkgo biloba,ginkgo,128,CENTRAL,PARK,SOUTH,Midtown-Midtown South,40.76623214,-73.97729028,990540.7154,218436.5993
242383,111807,Quercus rubra,northern red oak,150,CENTRAL,PARK,SOUTH,Midtown-Midtown South,40.76640273,-73.97769753,990427.8889,218498.7248
